epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.794,0,0,0.87126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32572e-05,3.32572e-05,0.066776
2,126.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64258e-05,6.64258e-05,0.0334759
3,173.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94293e-05,9.94293e-05,0.000175533
4,220.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92575e-05,9.92575e-05,9.92575e-05
5,270.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.901e-05,9.901e-05,9.901e-05
